"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A890","2019-07-16 00:00:00","40.000","0.000","0.100","25.500","0.960","1001.300","-99.000","0.000","-99.000","-99.000","-99.000","34.300","","24.100",""
"C0A660","2019-07-16 00:00:00","97.000","0.000","0.000","27.300","1.000","995.400","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","24.700",""
"C0T9H0","2019-07-16 00:00:00","725.000","342.000","1.300","22.300","0.990","929.300","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","22.100",""
"C0R270","2019-07-16 00:00:00","51.000","0.000","0.100","26.900","1.000","999.300","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","26.300",""
"C0O980","2019-07-16 00:00:00","18.000","0.000","0.000","28.100","0.920","1005.200","-99.000","0.000","-99.000","-99.000","-99.000","34.100","","25.800",""
"C0T9I0","2019-07-16 00:00:00","152.000","210.000","1.600","25.500","0.890","991.200","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","24.700",""
"C0V760","2019-07-16 00:00:00","30.000","334.000","0.600","30.400","0.790","1003.500","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","27.300",""
"C0AG90","2019-07-16 00:00:00","25.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0R570","2019-07-16 00:00:00","37.000","12.000","0.900","28.200","0.850","1001.200","-99.000","0.000","-99.000","-99.000","-99.000","34.400","","26.700",""
"C0O900","2019-07-16 00:00:00","9.000","115.000","0.700","28.500","0.960","1005.600","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","26.500",""
"C0AD00","2019-07-16 00:00:00","86.000","186.000","1.400","27.200","0.820","997.200","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","26.500",""
"C0V700","2019-07-16 00:00:00","24.000","334.000","0.700","30.600","0.730","1002.600","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","29.100",""
"C0AH00","2019-07-16 00:00:00","38.000","0.000","0.000","27.900","0.900","1002.200","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","26.000",""
"C0X080","2019-07-16 00:00:00","2.000","178.000","0.500","28.100","0.940","1006.000","-99.000","0.500","-99.000","-99.000","-99.000","34.000","","26.700",""
"CM0150","2019-07-16 00:00:00","11.000","341.000","1.000","27.900","0.830","1005.400","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","26.700",""
"C0I480","2019-07-16 00:00:00","2165.000","0.000","0.000","16.500","0.990","788.000","-99.000","0.000","-99.000","-99.000","-99.000","22.100","","11.500",""
"C0A860","2019-07-16 00:00:00","362.000","208.000","4.600","26.000","0.820","966.500","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","23.600",""
"C0U940","2019-07-16 00:00:00","25.000","220.000","0.900","26.900","0.890","1005.200","-99.000","0.000","-99.000","-99.000","-99.000","34.400","","25.300",""
"C0S970","2019-07-16 00:00:00","19.000","326.000","0.400","28.500","0.820","1004.300","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","26.300",""
"C0V260","2019-07-16 00:00:00","126.000","67.000","1.400","28.400","0.870","992.800","-99.000","0.000","-99.000","-99.000","-99.000","36.900","","25.700",""
"C0H990","2019-07-16 00:00:00","3076.000","29.000","0.600","10.600","0.790","706.800","-99.000","0.000","-99.000","-99.000","-99.000","18.500","","10.600",""
"C0F9K0","2019-07-16 00:00:00","30.000","0.000","0.200","29.000","0.860","1001.900","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","27.700",""
